מספר אצווה,זן,חממה,תאריך תחילת הפרחה,תאריך סיום הפרחה,סה״כ ימים בהפרחה,חודש_התחלה,עונה,GREENHOUSE,Humidity (%)_mean,Humidity (%)_std,Avg_Temp (‏ֽ‎‎°C)_mean,Avg_Temp (‏ֽ‎‎°C)_std,Radiation (J/m2)_mean,Radiation (J/m2)_std,Unnamed: 21_mean,Unnamed: 21_std,חממה_קוד,זן_קוד,עונה_קוד
GIZ2512ZG2,IZ,G,2025-03-23,29.4.2025 8:56,37.372222222220444,3,אביב,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,39,0
GGH42511ZJ2,GH4,Z,2025-03-16,27.4.2025 14:08,42.588888888887595,3,אביב,,,,,,,,,,8,29,0
GTB2511ZJ3,TB,J,2025-03-16,27.4.2025 14:02,42.5847222222219,3,אביב,J,62.318,11.07,25.07,3.755,181.15,266.691,0.925,0.264,6,72,0
GLE2511ZJ1,LE,J,2025-03-16,24.4.2025 11:20,39.47222222221899,3,אביב,J,62.318,11.07,25.07,3.755,181.15,266.691,0.925,0.264,6,48,0
GHSO2511ZH1,HSO,Z,2025-03-11,21.4.2025 13:40,41.56944444444525,3,אביב,,,,,,,,,,8,37,0
GLE2511ZH3,LE,H,2025-03-11,21.4.2025 10:37,41.442361111112405,3,אביב,H,63.085,10.29,25.528,3.817,180.9,267.08,0.982,0.134,4,48,0
GIZ2511ZH2,IZ,H,2025-03-11,20.4.2025 17:53,40.745138888887595,3,אביב,H,63.085,10.29,25.528,3.817,180.9,267.08,0.982,0.134,4,39,0
GROM2510ZI2,ROM,Z,2025-03-09,20.4.2025 15:29,42.64513888888905,3,אביב,,,,,,,,,,8,69,0
GGP2510ZI1,GP,I,2025-03-09,20.4.2025 15:14,42.63472222222481,3,אביב,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,32,0
GGP42510ZI3,GP4,Z,2025-03-09,16.4.2025 13:18,38.55416666666861,3,אביב,,,,,,,,,,8,33,0
GECR2508ZF6,ECR,Z,2025-02-23,14.4.2025 12:28,50.51944444444234,2,חורף,,,,,,,,,,8,21,1
GBC2508ZF2,BC,F,2025-02-23,14.4.2025 8:26,50.35138888889196,2,חורף,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,8,1
GBP2508ZF3,BP,F,2025-02-23,11.4.2025 12:55,47.53819444444525,2,חורף,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,13,1
GAB2508ZF5,AB,F,2025-02-23,11.4.2025 8:29,47.35347222222481,2,חורף,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,1,1
GRGD2508ZF1,RGD,Z,2025-02-23,8.4.2025 9:41,44.403472222220444,2,חורף,,,,,,,,,,8,67,1
GPI2506ZA1,PI,A,2025-02-13,26.3.2025 15:22,41.640277777776646,2,חורף,A1,63.537,9.897,26.114,3.98,151.234,264.277,0.932,0.265,0,61,1
GPI2506ZA1,PI,A,2025-02-13,26.3.2025 15:22,41.640277777776646,2,חורף,A2,0.0,0.0,0.0,0.0,198.574,295.645,0.945,0.228,0,61,1
GCHD2506ZE4,CHD,Z,2025-02-06,26.3.2025 12:35,48.52430555555475,2,חורף,,,,,,,,,,8,15,1
GGPI2506ZE1,GPI,Z,2025-02-06,26.3.2025 10:11,48.4243055555562,2,חורף,,,,,,,,,,8,34,1
GMET2506ZA2,MET,Z,2025-02-13,24.3.2025 17:27,39.72708333333139,2,חורף,,,,,,,,,,8,55,1
GPR92506ZE6,PR9,Z,2025-02-06,24.3.2025 12:37,46.52569444444089,2,חורף,,,,,,,,,,8,62,1
GFAC2506ZE2,FAC,Z,2025-02-06,24.3.2025 9:02,46.37638888888614,2,חורף,,,,,,,,,,8,23,1
GME82505ZT1,ME8,Z,2025-01-29,13.3.2025 14:27,43.60208333333139,1,חורף,,,,,,,,,,8,54,1
GPC2505ZT3,PC,T,2025-01-29,13.3.2025 10:40,43.44444444444525,1,חורף,,,,,,,,,,7,60,1
GJO32505ZT6,JO3,Z,2025-01-29,11.3.2025 11:08,41.463888888887595,1,חורף,,,,,,,,,,8,42,1
GBP2505ZT5,BP,T,2025-01-29,11.3.2025 8:04,41.33611111110804,1,חורף,,,,,,,,,,7,13,1
GWNG2505ZT2,WNG,Z,2025-01-29,7.3.2025 8:21,37.3479166666657,1,חורף,,,,,,,,,,8,79,1
GTB2503ZG1,TB,G,2025-01-16,6.3.2025 13:38,49.56805555555911,1,חורף,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,72,1
GAB2503ZG3,AB,G,2025-01-16,6.3.2025 8:36,49.35833333332994,1,חורף,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,1,1
GGBO2503ZG5,GBO,Z,2025-01-16,4.3.2025 10:30,47.4375,1,חורף,,,,,,,,,,8,28,1
GBG92452ZH1,BG9,Z,2024-12-31,25.2.2025 8:07,56.33819444444089,12,חורף,,,,,,,,,,8,10,1
GJO2502ZJ3,JO,J,2025-01-09,24.2.2025 11:22,46.473611111112405,1,חורף,J,62.318,11.07,25.07,3.755,181.15,266.691,0.925,0.264,6,41,1
GLIS2502ZJ1,LIS,Z,2025-01-09,24.2.2025 9:01,46.37569444444671,1,חורף,,,,,,,,,,8,50,1
G24K2452ZH2,24K,Z,2024-12-31,20.2.2025 9:29,51.39513888888905,12,חורף,,,,,,,,,,8,0,1
GPAS2452ZH3,PAS,Z,2024-12-31,20.2.2025 6:57,51.28958333333139,12,חורף,,,,,,,,,,8,59,1
GK12502ZI3,K1,I,2025-01-09,19.2.2025 11:56,41.497222222220444,1,חורף,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,43,1
GGP2502ZI1,GP,I,2025-01-09,19.2.2025 8:55,41.37152777778101,1,חורף,I,58.774,9.997,26.237,3.946,171.458,256.931,0.965,0.196,5,32,1
GK22450ZF1,K2,F,2024-12-14,3.2.2025 12:39,51.5270833333343,12,חורף,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,44,1
GHSO2450ZF6,HSO,Z,2024-12-14,3.2.2025 10:42,51.44583333333139,12,חורף,,,,,,,,,,8,37,1
GECR2450ZF5,ECR,Z,2024-12-14,3.2.2025 8:15,51.34375,12,חורף,,,,,,,,,,8,21,1
GAB2450ZF3,AB,F,2024-12-14,2.2.2025 12:31,50.52152777777519,12,חורף,F,63.919,9.971,25.813,4.115,175.782,255.9,0.986,0.116,2,1,1
GICC2450ZF2,ICC,Z,2024-12-14,2.2.2025 8:35,50.357638888890506,12,חורף,,,,,,,,,,8,38,1
GPR92447ZE6,PR9,Z,2024-11-24,23.1.2025 12:08,60.50555555555911,11,סתיו,,,,,,,,,,8,62,2
GCC2447ZE4,CC,E,2024-11-24,23.1.2025 8:43,60.36319444444234,11,סתיו,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,14,2
GPI2449ZA3,PI,A,2024-12-07,22.1.2025 11:09,46.4645833333343,12,חורף,A1,63.537,9.897,26.114,3.98,151.234,264.277,0.932,0.265,0,61,1
GPI2449ZA3,PI,A,2024-12-07,22.1.2025 11:09,46.4645833333343,12,חורף,A2,0.0,0.0,0.0,0.0,198.574,295.645,0.945,0.228,0,61,1
GGP2449ZA1,GP,A,2024-12-07,21.1.2025 12:50,45.53472222221899,12,חורף,A1,63.537,9.897,26.114,3.98,151.234,264.277,0.932,0.265,0,32,1
GGP2449ZA1,GP,A,2024-12-07,21.1.2025 12:50,45.53472222221899,12,חורף,A2,0.0,0.0,0.0,0.0,198.574,295.645,0.945,0.228,0,32,1
GGPI2447ZE3,GPI,Z,2024-11-24,20.1.2025 10:44,57.44722222222481,11,סתיו,,,,,,,,,,8,34,2
GFAC2447ZE2,FAC,Z,2024-11-24,20.1.2025 7:26,57.309722222220444,11,סתיו,,,,,,,,,,8,23,2
GMET2447ZE1,MET,Z,2024-11-24,19.1.2025 11:17,56.47013888888614,11,סתיו,,,,,,,,,,8,55,2
GJO2447ZE5,JO,E,2024-11-24,16.1.2025 12:42,53.52916666666715,11,סתיו,E,64.1,10.126,25.693,4.169,181.832,261.765,0.986,0.116,1,41,2
GK42448ZT3,K4,T,2024-11-27,16.1.2025 9:35,50.39930555555475,11,סתיו,,,,,,,,,,7,45,2
GBG12448ZT3,BG1,Z,2024-11-27,13.1.2025 12:11,47.50763888889196,11,סתיו,,,,,,,,,,8,9,2
GRGD2448ZT5,RGD,Z,2024-11-27,13.1.2025 11:40,47.486111111109494,11,סתיו,,,,,,,,,,8,67,2
GBC2448ZT4,BC,T,2024-11-27,12.1.2025 15:28,46.64444444444234,11,סתיו,,,,,,,,,,7,8,2
GWNG2448ZT1,WNG,Z,2024-11-27,12.1.2025 12:20,46.513888888890506,11,סתיו,,,,,,,,,,8,79,2
GBC2445ZG4,BC,G,2024-11-08,7.1.2025 12:17,60.51180555555766,11,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,8,2
GBP2445ZG3,BP,G,2024-11-08,7.1.2025 8:36,60.35833333332994,11,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,13,2
GBG12445ZG6,BG1,Z,2024-11-08,5.1.2025 14:21,58.5979166666657,11,סתיו,,,,,,,,,,8,9,2
GTB2445ZG5,TB,G,2024-11-08,5.1.2025 10:47,58.44930555555766,11,סתיו,G,62.992,9.804,24.93,3.967,178.381,260.274,0.954,0.217,3,72,2
GALS2444ZJ3,ALS,Z,2024-10-31,5.1.2025 7:34,66.31527777777956,10,סתיו,,,,,,,,,,8,5,2
